,Traverse,Increment,bias,step,Points_visited,final_max,max_mag
0,0.8,1.4,0,1,2500,[ 0.000  0.000  5.431  4.998 -11.727  0.000  422.500],422.4995698270255
1,0.8,1.4,0,4,2500,[ 0.000  0.000  5.597  5.479 -13.684  0.000  456.749],456.7488435557104
2,0.8,1.4,0,7,2500,[ 0.000  0.000  5.420  6.807 -13.292  0.000  534.241],534.2408213924451
3,0.8,1.4,8,1,2500,[ 0.000  0.000  5.665  7.843 -12.421  0.000  558.615],558.6145589616482
4,0.8,1.4,8,4,2500,[ 0.000  0.000  0.014  0.092 -12.000  0.000  59.804],59.80355141985664
5,0.8,1.4,8,7,2500,[ 0.000  0.000  0.012  0.079 -12.000  0.000  59.761],59.761135556207236
6,0.8,1.4,16,1,2500,[ 0.000  0.000  5.400  8.228 -11.848  0.000  588.078],588.0781413622569
7,0.8,1.4,16,4,2500,[ 0.000  0.000  0.009  0.061 -12.000  0.000  59.705],59.70490736001027
8,0.8,1.4,16,7,2500,[ 0.000  0.000  0.008  0.055 -12.000  0.000  59.685],59.68531504165206
9,0.8,1.4,24,1,2500,[ 0.000  0.000  5.418  8.922 -12.942  0.000  606.226],606.225565757874
10,0.8,1.4,24,4,2500,[ 0.000  0.000  0.007  0.046 -12.000  0.000  59.656],59.656011210279246
11,0.8,1.4,24,7,2500,[ 0.000  0.000  0.006  0.042 -12.000  0.000  59.645],59.644767466409455
12,0.8,1.8,0,1,2500,[ 0.000  0.000  5.433  7.887 -12.254  0.000  574.281],574.2812948510514
13,0.8,1.8,0,4,2500,[ 0.000  0.000  5.424  6.945 -13.109  0.000  550.201],550.201185965621
14,0.8,1.8,0,7,2500,[ 0.000  0.000  5.397  8.161 -12.022  0.000  584.866],584.866312045256
15,0.8,1.8,8,1,2500,[ 0.000  0.000  6.031  6.013 -11.601  0.000  476.599],476.5987919105001
16,0.8,1.8,8,4,2500,[ 0.000  0.000  0.025  0.078 -12.000  0.000  60.246],60.24561751822051
17,0.8,1.8,8,7,2500,[ 0.000  0.000  0.023  0.074 -12.000  0.000  60.207],60.207075524056705
