,offset,Traverse,Increment,bias,step,Points_visited,final_max,max_mag
0,[ 0.000  0.000 -2.400 -13.000 -13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  0.000  0.000  0.000  0.000  39.674],39.673999999999985
1,[ 0.000  0.000 -2.400 -13.000  0.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  5.461  5.461  0.178  0.000  274.462],274.4620887710573
2,[ 0.000  0.000 -2.400 -13.000  13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000 -1.050  1.050 -2.100  0.000  38.148],38.148374999999994
3,[ 0.000  0.000 -2.400  0.000 -13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  3.993 -0.969  9.211  0.000  399.968],399.9682506057558
4,[ 0.000  0.000 -2.400  0.000  0.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  4.806  0.870  0.080  0.000  594.178],594.1775091039652
5,[ 0.000  0.000 -2.400  0.000  13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  3.611 -2.999 -7.208  0.000  264.708],264.70816054432873
6,[ 0.000  0.000 -2.400  13.000 -13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  1.157 -0.855  5.011  0.000  43.496],43.49648868381969
7,[ 0.000  0.000 -2.400  13.000  0.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  4.804 -10.119 -0.931  0.000  526.125],526.1250490425623
8,[ 0.000  0.000 -2.400  13.000  13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  0.000  0.000  0.000  0.000  37.233],37.23299999999998
9,[ 0.000  0.000  2.300 -13.000 -13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000 -0.263  1.837  0.862  0.000  38.677],38.67738450879586
10,[ 0.000  0.000  2.300 -13.000  0.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000 -0.004  7.554  0.081  0.000  385.822],385.82180706781503
11,[ 0.000  0.000  2.300 -13.000  13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  0.000  0.000  0.000  0.000  37.233],37.233
12,[ 0.000  0.000  2.300  0.000 -13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  0.327  0.493  5.908  0.000  332.723],332.72334658203147
13,[ 0.000  0.000  2.300  0.000  0.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  0.000  0.000  0.000  0.000  605.029],605.0292499999999
14,[ 0.000  0.000  2.300  0.000  13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  0.077 -0.100 -10.932  0.000  606.033],606.0332695974147
15,[ 0.000  0.000  2.300  13.000 -13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000 -1.050 -1.050  2.100  0.000  39.243],39.24297500000001
16,[ 0.000  0.000  2.300  13.000  0.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  0.085 -12.076 -0.539  0.000  593.244],593.243670347002
17,[ 0.000  0.000  2.300  13.000  13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  2.168 -2.137 -7.856  0.000  79.921],79.92064973489312
18,[ 0.000  0.000  7.000 -13.000 -13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000  0.000  0.000  0.000  0.000  39.674],39.674
19,[ 0.000  0.000  7.000 -13.000  0.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000 -4.838  7.453 -0.494  0.000  365.892],365.89156753918775
20,[ 0.000  0.000  7.000 -13.000  13.000  0.000],0.8,1.4,0,1,2500,[ 0.000  0.000 -2.655  3.860 -7.480  0.000  130.400],130.3995390270733
